363748.749908,3713211.978677,363740.480000,3713213.990000,0.005,-0.001,1113,890,889,0,0
363747.863162,3713212.194342,363740.480000,3713213.990000,-0.008,0.002,1113,890,889,0,0
363645.447620,3713224.547371,363635.930000,3713207.150000,0.003,0.005,1241,997,506,0,0
363154.568035,3713227.103617,363155.450000,3713210.260000,0.001,-0.010,1011,770,760,0,0
363156.397845,3713193.116363,363155.450000,3713210.260000,0.000,-0.003,974,770,769,0,0
363156.298858,3713194.906746,363155.450000,3713210.260000,0.000,-0.002,974,770,769,0,0
363564.990000,3713115.740000,363563.850000,3713116.680000,-0.154,0.127,1280,1024,1025,0,0
363564.990000,3713115.740000,363563.850000,3713116.680000,-0.154,0.127,1280,1024,1025,0,0
363570.413716,3713194.256844,363567.390000,3713203.500000,0.003,-0.008,1071,850,849,0,0
363520.590103,3713198.832560,363511.710000,3713205.210000,-0.002,0.001,921,727,726,0,0
363521.202546,3713198.392720,363511.710000,3713205.210000,0.004,-0.003,921,727,726,0,0
363550.512625,3713155.206860,363551.470000,3713144.580000,-0.000,0.004,1276,1021,841,0,0
363563.850000,3713116.680000,363564.990000,3713115.740000,0.154,-0.127,1280,1025,1024,0,0
363563.850000,3713116.680000,363564.990000,3713115.740000,0.154,-0.127,1280,1025,1024,0,0
363511.242253,3713205.757485,363479.740000,3713242.630000,-0.000,0.000,922,728,727,0,0
363273.907462,3713193.042805,363294.630000,3713203.670000,-0.003,-0.002,978,774,730,0,0
363273.539196,3713192.853946,363294.630000,3713203.670000,0.009,0.005,978,774,730,0,0
363273.296289,3713192.729375,363294.630000,3713203.670000,0.005,0.003,978,774,730,0,0
363364.495529,3713286.836747,363356.130000,3713284.120000,0.009,0.003,866,667,684,0,0
363429.828879,3713226.416515,363424.760000,3713212.910000,0.000,0.001,927,732,731,0,0
363362.812544,3713286.290189,363356.130000,3713284.120000,-0.005,-0.002,866,667,684,0,0
363427.498017,3713172.103300,363434.620000,3713171.190000,0.006,-0.001,1060,819,839,0,0
363410.640759,3713202.239747,363412.830000,3713189.980000,0.001,-0.008,1027,813,793,0,0
363429.350195,3713225.141016,363424.760000,3713212.910000,-0.002,-0.007,927,732,731,0,0
363341.916278,3713229.069295,363334.420000,3713226.210000,0.003,0.001,960,759,758,0,0
363341.718360,3713228.993803,363334.420000,3713226.210000,-0.000,-0.000,960,759,758,0,0
363341.022228,3713228.728278,363334.420000,3713226.210000,-0.008,-0.003,960,759,758,0,0
363334.608140,3713226.240548,363323.950000,3713224.510000,0.009,0.002,961,699,759,0,0
363337.289685,3713227.304580,363334.420000,3713226.210000,-1.033,-0.394,960,759,758,0,0
363335.060741,3713226.314036,363323.950000,3713224.510000,-0.006,-0.001,961,699,759,0,0
363154.513785,3713228.064443,363153.570000,3713241.710000,-0.000,0.005,963,761,760,0,0
363154.399904,3713227.795448,363114.920000,3713217.310000,-0.000,-0.000,1019,798,760,0,0
363154.596676,3713227.848642,363248.920000,3713254.220000,-0.006,-0.002,962,723,760,0,0
363338.322264,3713227.698435,363334.420000,3713226.210000,-1.033,-0.394,960,759,758,0,0
363337.289685,3713227.304580,363334.420000,3713226.210000,-1.033,-0.394,960,759,758,0,0
363339.354842,3713228.092290,363334.420000,3713226.210000,-1.033,-0.394,960,759,758,0,0
363352.518191,3713236.496199,363341.420000,3713228.880000,0.003,0.002,959,758,757,0,0
363402.015898,3713229.917043,363430.890000,3713235.930000,-0.007,-0.001,967,707,763,0,0
363352.364824,3713236.390951,363341.420000,3713228.880000,-0.007,-0.005,959,758,757,0,0
363156.394545,3713193.176054,363155.450000,3713210.260000,-0.000,0.009,974,770,769,0,0
363156.312369,3713194.662362,363155.450000,3713210.260000,-0.000,0.004,974,770,769,0,0
363155.713211,3713193.430239,363116.740000,3713182.170000,-0.006,-0.002,1022,810,769,0,0
363059.760000,3713174.660000,363059.760000,3713174.660000,0.000,0.000,-1,905,905,0,1
363059.760000,3713174.660000,363059.760000,3713174.660000,0.000,0.000,-1,905,905,0,1
363059.760000,3713174.660000,363059.760000,3713174.660000,0.000,0.000,-1,905,905,0,1
363155.957925,3713193.500942,363116.740000,3713182.170000,0.005,0.001,1022,810,769,0,0
363155.123801,3713193.259945,363116.740000,3713182.170000,0.000,0.000,1022,810,769,0,0
363155.218014,3713193.287165,363116.740000,3713182.170000,0.005,0.001,1022,810,769,0,0
363308.747702,3713215.383546,363311.960000,3713197.880000,0.000,-0.000,991,787,775,0,0
363154.827165,3713193.174240,363116.740000,3713182.170000,0.006,0.002,1022,810,769,0,0
363059.760000,3713174.660000,363059.760000,3713174.660000,0.000,0.000,-1,905,905,0,1
363538.462205,3713178.238783,363504.140000,3713162.810000,0.007,0.003,980,777,776,0,0
363537.925930,3713177.997713,363504.140000,3713162.810000,-0.008,-0.003,980,777,776,0,0
363550.450223,3713155.899525,363551.470000,3713144.580000,-0.000,0.003,1276,1021,841,0,0
363550.527577,3713155.040891,363551.470000,3713144.580000,-0.000,0.004,1276,1021,841,0,0
363550.397000,3713156.490304,363551.470000,3713144.580000,0.001,-0.008,1276,1021,841,0,0
363504.156288,3713162.813457,363495.990000,3713161.080000,0.001,0.000,981,778,777,0,0
363496.793158,3713160.793726,363487.910000,3713163.960000,-0.002,0.001,982,779,778,0,0
363496.279166,3713160.976931,363487.910000,3713163.960000,-0.006,0.002,982,779,778,0,0
363496.010939,3713161.072536,363487.910000,3713163.960000,0.006,-0.002,982,779,778,0,0
363487.765549,3713164.058813,363481.010000,3713168.680000,-0.000,0.000,983,780,779,0,0
