0,9070
1,8831
2,9006
3,9002
4,8880
5,8866
6,8929
7,8814
8,9150
9,8623
10,9336
11,9156
12,9127
13,9791
14,9415
15,9650
16,9999
17,9630
18,9954
19,9900
20,9989
21,10463
22,11662
23,11067
24,11648
25,11502
26,11802
27,10902
28,11559
29,12110
30,13224
31,13217
32,13790
33,13815
34,14250
35,14090
36,15067
37,14791
38,15263
39,16135
40,16170
41,16829
42,16509
43,16455
44,17821
45,19006
46,18424
47,19163
48,19701
49,20445
50,20102
51,21554
52,21401
53,22422
54,22380
55,22826
56,23371
57,23362
58,22887
59,24959
60,24642
61,24157
62,25832
63,26557
64,25824
65,25923
66,26658
67,26618
68,27122
69,27454
70,28057
71,27520
72,27795
73,28176
74,28080
75,28547
76,28260
77,28372
78,28849
79,28680
80,28192
81,28571
82,28718
83,28712
84,28728
85,28918
86,28834
87,27667
88,28960
89,29176
90,28951
91,29224
92,28899
93,29167
94,28985
95,29021
96,29094
97,28966
98,28875
99,29056
100,28815
